1,"AABYE, Edgar",Men
2,"AALTONEN, Arvo Ossian",Men
3,"AALTONEN, Paavo Johannes",Men
4,"AAMODT, Ragnhild",Women
5,"AANING, Alf Lied",Men
6,"AARDENBURG, Willemien",Women
7,"AARDEWIJN, Pepijn",Men
8,"AARONES, Ann Kristin",Women
9,"AAS, Karl Jan",Men
10,"AAS, Thomas Valentin",Men
11,"ABAJO, Jose Luis",Men
12,"ABAKUMOVA, Maria",Women
13,"ABALMASAU, Aliaksei",Men
14,"ABALO, Luc",Men
15,"ABANDA ETONG, Patrice",Men
16,"ABARCA, Jose Maria",Men
17,"ABAS, Stephen",Men
18,"ABASCAL GARCIA, Alejandro",Men
19,"ABASCAL GOMEZ, Jose Manuel",Men
20,"ABASSOVA, Tamilla",Women
21,"ABATI, Joel",Men
22,"ABAY, Peter",Men
23,"ABAY-NEMES, Oszkar",Men
24,"ABBA, Silvano",Men
25,"ABBAGNALE, Agostino",Men
26,"ABBAGNALE, Carmine",Men
27,"ABBAGNALE, Giuseppe",Men
28,"ABBOTT, Des",Men
29,"ABBOTT, Margaret Ives",Women
30,"ABBOTT, Monica",Women
31,"ABDALLAH, Nia",Women
32,"ABDO, Reema",Women
33,"ABDOOLLAYEV, Mahammatkodir",Men
34,"ABDUL, Hamid",Men
35,"ABDUL, Rashid I",Men
36,"ABDUL, Rashid III",Men
37,"ABDUL, Rashid IV",Men
38,"ABDUL, Waheed",Men
39,"ABDULBEKOV, Zagalav",Men
40,"ABDULLAYEV, Namig",Men
41,"ABDUR-RAHIM, Shareef",Men
42,"ABDUSALOMOV, Yusup",Men
43,"ABDUVALIEV, Andrey",Men
44,"ABEBE, Addis",Men
45,"ABEGGLEN, Max",Men
46,"ABEL, Irene",Women
47,"ABEL, Sten",Men
48,"ABELARDO, Olivier",Men
49,"ABELL, Louis",Men
50,"ABERA, Gezahegne",Men
51,"ABERG, Georg",Men
52,"ABERNATHY, Brent",Men
53,"ABERNETHY, Moira",Women
54,"ABEYLEGESSE, Elvan",Women
55,"ABILOV, Ismail",Men
56,"ABLOWICH, Edgar Allen",Men
57,"ABOIMOV, Viktor",Men
58,"ABRAHAM, Attila",Men
59,"ABRAHAM, F.",Men
60,"ABRAHAM, Gary",Men
61,"ABRAHAMIAN, Ara",Men
62,"ABRAHAMS, Harold",Men
63,"ABRAHAMSEN, Isak",Men
64,"ABRAHAMSSON, Erik",Men
65,"ABRAMOV, Pavel",Men
66,"ABRAMOVA, Nelli",Women
67,"ABROSIMOVA, Svetlana",Women
68,"ABSAIDOV, Saipulla",Men
69,"ABSALON, Julien",Men
70,"ABUKAWA-CHIBA, Ginko",Women
71,"ABUSHAKHMETOV, Aleksandr",Men
72,"ABUSHEV, Magomedgasan",Men
73,"ACATRINEI, Andreea",Women
74,"ACEDO, Domingo",Men
75,"ACEVEDO SANTIAGO, Anibal",Men
76,"ACEVES, Daniel",Men
77,"ACHEAMPONG, Joachin Yaw",Men
78,"ACHERMANN, Alfred",Men
79,"ACHIK, Abdelhak",Men
80,"ACHIK, Mohamed",Men
81,"ACKE, Fausto",Men
82,"ACKERLEY, Paul",Men
83,"ACKERLY, Charles Edwin",Men
84,"ACOSTA DUARTE, Osmai",Men
85,"ACOSTA Y LARA, Martin",Men
86,"ACOSTA, Lautaro",Men
87,"ADACH, Kazimierz",Men
88,"ADAM, Gordon Belgum",Men
89,"ADAM, Jiri",Men
90,"ADAM, John M.",Men
91,"ADAM, Otto",Men
92,"ADAM, Pierre",Men
93,"ADAMS, Benjamin W.",Men
94,"ADAMS, Edgar H.",Men
95,"ADAMS, Harry Loren",Men
96,"ADAMS, Neil",Men
97,"ADAMS, Platt",Men
98,"ADAMSKI, Herbert",Men
99,"ADAMSKI, Jerzy",Men
100,"ADDO, Simon",Men
101,"ADEFEMI, Olubayo",Men
102,"ADELEYE, Dele",Men
103,"ADENIKEN, Olapade",Men
104,"ADISSON, Franck",Men
105,"ADJEI, Sammi",Men
106,"ADKINS, Charles",Men
107,"ADKINS, Derrick",Men
108,"ADLARD, Robert Edward",Men
109,"ADLER, Daniel",Men
110,"ADLER, Egon",Men
111,"ADLER, Margarete",Women
112,"ADLERCREUTZ, Gregor",Men
113,"ADLERCREUTZ, Nils",Men
114,"ADLERSTRAHLE, Märtha",Women
115,"ADLERZ, Erik",Men
116,"ADLINGTON, Rebecca",Women
117,"ADOMAITIS, Dainius",Men
118,"ADRIAN, Nathan",Men
119,"ADROVICZ, Attila",Men
120,"AEFFKE, Klaus",Men
121,"AFOLABI, Bisi",Women
122,"AFRASILOAIA, Felicia",Women
123,AFRIKA,Women
124,"AGACHE, Lavinia",Women
125,"AGAMENNONI, Luca",Men
126,"AGASSI, Andre",Men
127,"AGEEV, Viktor",Men
128,"AGERSBORG, Henrik",Men
129,"AGLIOTTI, Marilyn",Women
130,"AGOSTONI, Carlo",Men
131,"AGOSTON-MENDELENYI, Judit",Women
132,"AGREN, Erik",Men
133,"AGSTERIBBE, Estella",Women
134,"AGUERO, Sergio",Men
135,"AGUERO, Taimaris",Women
136,"AGUILAR, Jose",Men
137,"AGUILERA RUIZ, Jorge Luis",Men
138,"AH MOW-SANTOS, Robyn",Women
139,"AHEARNE, Timoty J.",Men
140,"AHKTAR, Hussain",Men
141,"AHLBERG, Bruno Valfrid",Men
142,"AHLFORS, Anselm",Men
143,"AHLGREN, Anders",Men
144,"AHLGREN, George Lewis",Men
145,"AHLMANN, Christian",Men
146,"AHLQVIST, Thure",Men
147,"AHLUND, Olof Olle",Men
148,"AHMAN, Arne",Men
149,"AHMANN, Jörg",Men
150,"AHMANN-LEIGHTON, Christine",Women
151,"AHMED SALAH, Hussein",Men
152,"AHN, Byung-Keun",Men
153,"AHNGER, Arthur",Men
154,"AHRENDT, Peter",Men
155,"AHRENHOLZ, Brigitte",Women
156,"AHRENS, Chris",Men
157,"AHRENS, Marlene",Women
158,"AHRENS, Thomas",Men
159,"AICEGA, Magdalena",Women
160,"AIGNER, Franz",Men
161,"AIHARA, Nobuyuki",Men
