1,Aquatics
2,Archery
3,Athletics
4,Badminton
5,Baseball
6,Basketball
7,Basque Pelota
8,Boxing
9,Canoe / Kayak
10,Cricket
11,Croquet
12,Cycling
13,Equestrian
14,Fencing
15,Football
16,Golf
17,Gymnastics
18,Handball
19,Hockey
20,Ice Hockey
21,Jeu de paume
22,Judo
23,Lacrosse
24,Modern Pentathlon
25,Polo
26,Rackets
27,Roque
28,Rowing
29,Rugby
30,Sailing
31,Shooting
32,Skating
33,Softball
34,Table Tennis
35,Taekwondo
36,Tennis
37,Triathlon
38,Tug of War
39,Volleyball
40,Water Motorsports
41,Weightlifting
42,Wrestling
